var_x,label_x,var_y,label_y,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
carbonization_temperature_C,Carbonization temperature,d002_nm,d002,565,-0.23363329815742834,1.9201155457169017e-08,-0.21812698536079841,1.6363181461084245e-07,-0.16341068287473434,3.64396825328244e-08
carbonization_temperature_C,Carbonization temperature,id_ig,ID/IG,565,-0.040753419579598146,0.3335669564709644,0.05172034933756482,0.21964310995434633,0.031762768081626036,0.28126244381489196
carbonization_temperature_C,Carbonization temperature,ssa_m2_g,SSA,565,-0.44348675024455486,1.2664465486513562e-28,-0.5510468751917701,3.459841455205077e-46,-0.40562037493569014,3.0388579901472538e-43
carbonization_temperature_C,Carbonization temperature,electrolyte_type,Electrolyte type,565,0.020140938146364622,0.6328403624859141,0.017519110197959705,0.6777509176244132,0.014969328661565248,0.6773691611113541
carbonization_temperature_C,Carbonization temperature,current_density_mA_g,Current density,565,-0.2607087042135383,3.1261580300018657e-10,-0.33110655163221875,6.373529467241598e-16,-0.2554772286084155,1.2787299895786847e-15
carbonization_temperature_C,Carbonization temperature,carbonization_time_h,Carbonization time,524,-0.06396633366734991,0.14367071734349202,-0.13780358966981746,0.0015667173728015828,-0.10941499142442318,0.0016690718888169012
carbonization_temperature_C,Carbonization temperature,heating_rate_C_min,Heating rate,365,-0.11531914268150482,0.02759711346157728,-0.07320513335032156,0.16281748690394743,-0.05781974760726676,0.1668537785363935
carbonization_temperature_C,Carbonization temperature,pore_volume_cm3_g,Pore volume,302,-0.4356149493069325,2.0417257284567776e-15,-0.6272718864060146,1.955299293927468e-34,-0.4763504358110379,4.6993274393668635e-32
carbonization_temperature_C,Carbonization temperature,lc_nm,Lc,286,0.11986375023200087,0.042814959328796295,0.14922688689408672,0.011511785071898196,0.10375998055019693,0.013157250223857313
carbonization_temperature_C,Carbonization temperature,la_nm,La,256,0.15546678076903048,0.012757920209364025,0.16022341615417707,0.010239392081093939,0.12342148026513612,0.005284054550220934
carbonization_temperature_C,Carbonization temperature,ice,ICE,565,0.7499678811548812,3.977767106153277e-103,0.7795928516363934,1.6497643037611496e-116,0.6032005594499876,2.947171650876616e-93
carbonization_temperature_C,Carbonization temperature,plateau_capacity_mAh_g,Plateau capacity,565,0.8173875628362023,5.874407466440671e-137,0.820680159255398,5.809000361350647e-139,0.6551802113587517,1.6428481902586551e-106
carbonization_temperature_C,Carbonization temperature,reversible_capacity_mAh_g,Reversible capacity,558,0.19952048215139812,2.0306208072379467e-06,0.2560156529428892,8.430153510948003e-10,0.18747135742106263,2.4633106522194047e-10
d002_nm,d002,id_ig,ID/IG,565,0.1423338000578228,0.0006912327370564002,0.18204926597454016,1.3360574678729956e-05,0.1284426252988861,6.319280025555388e-06
d002_nm,d002,ssa_m2_g,SSA,565,0.10041046387145695,0.016964316210203636,0.14933055303063858,0.00036849579640753745,0.10110079068185102,0.0003690252118780625
d002_nm,d002,electrolyte_type,Electrolyte type,565,-0.024410649517301937,0.5625650251989687,-0.01842970173689641,0.6620127424475525,-0.015194122561896036,0.6616174242488522
d002_nm,d002,current_density_mA_g,Current density,565,-0.000762657224037621,0.9855686426487615,0.07982990348957315,0.05791243780797913,0.059188156712089324,0.054857792937646935
d002_nm,d002,carbonization_time_h,Carbonization time,524,-0.01443828634334479,0.7415999195573121,0.04798388613797423,0.27289944275063993,0.03675852808342851,0.2732203665482589
d002_nm,d002,heating_rate_C_min,Heating rate,365,-0.007942127127925427,0.8798052877994758,-0.008980922837386416,0.8642275345738917,-0.0063988407206465115,0.873945672734375
d002_nm,d002,pore_volume_cm3_g,Pore volume,302,0.0660639941850352,0.252391645238652,0.13491682575654604,0.018995682577574616,0.09187204775424389,0.018555692016282762
d002_nm,d002,lc_nm,Lc,286,-0.03768649236385626,0.525577922337002,-0.13140045301876213,0.026276908860009107,-0.09082887547153634,0.023465643931625448
d002_nm,d002,la_nm,La,256,0.01465862707216833,0.8154486482202745,0.005787969049062654,0.9265748334254018,0.0014838852599213866,0.9720270631316147
d002_nm,d002,ice,ICE,565,-0.12559100211359567,0.002785196898588286,-0.09558218870958307,0.023078339812431826,-0.06634409354020061,0.019549651976264713
d002_nm,d002,plateau_capacity_mAh_g,Plateau capacity,565,-0.07225381674120779,0.08618156891629414,-0.0440993365854058,0.29536858054166665,-0.03277189678641169,0.25582738107283
d002_nm,d002,reversible_capacity_mAh_g,Reversible capacity,558,0.06833061392295256,0.10688085426437623,0.09285856430733569,0.028283674683783032,0.06430010111061572,0.024436381827440862
id_ig,ID/IG,ssa_m2_g,SSA,565,-0.0036695115536095565,0.9306473335406905,-0.058708980667048834,0.16343593569758733,-0.038816520883000666,0.16873681763207926
id_ig,ID/IG,electrolyte_type,Electrolyte type,565,-0.030234896766377597,0.473221291998826,-0.02927023884847913,0.48746049362537575,-0.023974065928131144,0.48697404982511805
id_ig,ID/IG,current_density_mA_g,Current density,565,-0.10190349426423483,0.015385941769467504,-0.123733417636351,0.003219913110042526,-0.08960145817612446,0.0034375836203224307
id_ig,ID/IG,carbonization_time_h,Carbonization time,524,-0.023403314747669796,0.592981679480803,-0.00185000449341969,0.9663014436174344,-0.0023442025502492963,0.9439222360126152
id_ig,ID/IG,heating_rate_C_min,Heating rate,365,0.04477283400316443,0.39372721943677336,0.05775571868068568,0.27109014534102593,0.045738175116574895,0.25359150360199534
id_ig,ID/IG,pore_volume_cm3_g,Pore volume,302,-0.1041130705708858,0.07080874763282673,-0.079560980663301,0.16787140104959025,-0.05275546770428205,0.1734310161605681
id_ig,ID/IG,lc_nm,Lc,286,0.011241636847682751,0.8498681027763104,-0.02999066206503953,0.6135022628611302,-0.01756741784540412,0.6591142464302993
id_ig,ID/IG,la_nm,La,256,0.07075660825308507,0.259328473656788,0.04840502246995132,0.440622559549885,0.03117564020481876,0.4585142024383978
id_ig,ID/IG,ice,ICE,565,0.06843298811784779,0.10417609974249215,0.13864324877351455,0.0009525310842178511,0.09235939217904243,0.0010689001229139178
id_ig,ID/IG,plateau_capacity_mAh_g,Plateau capacity,565,0.0528740990691716,0.2095159603799352,0.13653974383712894,0.0011396274584613074,0.09276697369342404,0.0012053928368672962
id_ig,ID/IG,reversible_capacity_mAh_g,Reversible capacity,558,-0.08927954845356463,0.03499240255627823,-0.04747899444593579,0.26285594180768074,-0.030315590615723084,0.28557870730414225
ssa_m2_g,SSA,electrolyte_type,Electrolyte type,565,0.01578769580411298,0.7080609980044772,0.0507838194422963,0.22811759725291145,0.04151196779495249,0.22779864038339892
ssa_m2_g,SSA,current_density_mA_g,Current density,565,0.34370621644751903,4.126499645843004e-17,0.2965407630860846,6.220717267837881e-13,0.21316360116485,3.0799016962406814e-12
ssa_m2_g,SSA,carbonization_time_h,Carbonization time,524,0.008944167085313766,0.8381530754896541,0.05970077179194353,0.172389230554131,0.0451490561681537,0.17464446814289258
ssa_m2_g,SSA,heating_rate_C_min,Heating rate,365,0.03216675496613057,0.5401437635461958,0.05437419989054413,0.30019233817968727,0.04215283149776887,0.2918307622178755
ssa_m2_g,SSA,pore_volume_cm3_g,Pore volume,302,0.7631740185041009,7.727650602271812e-59,0.8859688582065801,3.971041921907224e-102,0.7071300237700989,1.0437827175347481e-74
ssa_m2_g,SSA,lc_nm,Lc,286,-0.10756368720971071,0.06931306279252639,-0.08435674252058659,0.1547675820105515,-0.05600521126092554,0.15891364855980428
ssa_m2_g,SSA,la_nm,La,256,-0.19362296244568375,0.0018562837476817965,-0.2192378910459487,0.00040974362485791775,-0.1414925146581904,0.0007525980071549126
ssa_m2_g,SSA,ice,ICE,565,-0.6461115345984351,4.511222956921249e-68,-0.6836086929694647,4.9080475336212475e-79,-0.5057590414293713,4.653597704901204e-72
ssa_m2_g,SSA,plateau_capacity_mAh_g,Plateau capacity,565,-0.5295537533936093,3.6912638808725873e-42,-0.6247816345029006,1.6956487504184082e-62,-0.4544369390647887,7.239808688259662e-57
ssa_m2_g,SSA,reversible_capacity_mAh_g,Reversible capacity,558,-0.03846128090225396,0.3644959108242139,-0.1975504284033616,2.56999148310704e-06,-0.14049323851917803,7.096761420722806e-07
electrolyte_type,Electrolyte type,current_density_mA_g,Current density,565,0.059500449295773174,0.15782370434382784,0.1094138764239998,0.009246675331718256,0.097138272050026,0.009364961095298347
electrolyte_type,Electrolyte type,carbonization_time_h,Carbonization time,524,0.024604020720181457,0.5741488360425644,0.11021057755738113,0.011586133717950661,0.1025301495602896,0.011721254935507986
electrolyte_type,Electrolyte type,heating_rate_C_min,Heating rate,365,0.01629854084767973,0.7563056581858302,0.012358164181950399,0.8139747042176796,0.011526569019100947,0.8136043619314126
electrolyte_type,Electrolyte type,pore_volume_cm3_g,Pore volume,302,-0.07074629617880276,0.2202447204383185,-0.09180477632184833,0.11135218382751415,-0.075230627298839,0.11121553622406294
electrolyte_type,Electrolyte type,lc_nm,Lc,286,-0.09781715798135984,0.09874776382654843,-0.16413494207050744,0.005393974357511183,-0.13453046503797964,0.005589871837256947
electrolyte_type,Electrolyte type,la_nm,La,256,-0.2283888372891541,0.00022855684104900674,-0.30084595148996846,9.387539543675841e-07,-0.2462639562527961,1.5543002859958058e-06
electrolyte_type,Electrolyte type,ice,ICE,565,0.04355857131875049,0.3013358093644102,0.004728200849065525,0.9107125777386066,0.00386844341813936,0.9105946212123319
electrolyte_type,Electrolyte type,plateau_capacity_mAh_g,Plateau capacity,565,-0.06836103203017323,0.10454156101144126,-0.0730458988426357,0.08278439846914018,-0.06066243055207192,0.08278616230816543
electrolyte_type,Electrolyte type,reversible_capacity_mAh_g,Reversible capacity,558,-0.11889968733345282,0.004918319928076042,-0.1245552216711147,0.003207353606992277,-0.10184329752733444,0.0032862688725735045
current_density_mA_g,Current density,carbonization_time_h,Carbonization time,524,0.03831463295276165,0.3814167157524654,-0.029338742617505045,0.5027717774703095,-0.02493620839246706,0.4903975758835577
current_density_mA_g,Current density,heating_rate_C_min,Heating rate,365,0.027870067390510796,0.5956033750771572,0.18038711509651512,0.0005343491194051567,0.14356938892930102,0.0009858805195212237
current_density_mA_g,Current density,pore_volume_cm3_g,Pore volume,302,0.35766475064109626,1.5253840416106652e-10,0.324968632919931,7.399106522941446e-09,0.2369064785528564,1.640981083241035e-08
current_density_mA_g,Current density,lc_nm,Lc,286,-0.12969430281910482,0.028307785459233903,-0.0896920567533592,0.1302189921701688,-0.06138490027637567,0.15246660137191506
current_density_mA_g,Current density,la_nm,La,256,-0.25109350464791735,4.84214203994799e-05,-0.17856929682086195,0.0041543306518092215,-0.11625477864616945,0.010468285697690672
current_density_mA_g,Current density,ice,ICE,565,-0.36900724888539194,1.147596633470949e-19,-0.415048803888323,6.181682170482455e-25,-0.3020176467713795,5.49800343820078e-23
current_density_mA_g,Current density,plateau_capacity_mAh_g,Plateau capacity,565,-0.3027342881133855,1.934925644684882e-13,-0.383720220884475,2.922212254704603e-21,-0.2843105059157303,5.39462263205365e-20
current_density_mA_g,Current density,reversible_capacity_mAh_g,Reversible capacity,558,-0.09047145406026903,0.032621597655931554,-0.06453100911789136,0.12787835339472667,-0.04342468456778356,0.1582625986334978
carbonization_time_h,Carbonization time,heating_rate_C_min,Heating rate,348,-0.11063881914755691,0.03912673234466769,-0.23641996531849044,8.278824341034311e-06,-0.20851789854736438,7.1144612260661e-06
carbonization_time_h,Carbonization time,pore_volume_cm3_g,Pore volume,278,-0.05046364497890994,0.4019519968796342,-0.023628421071512046,0.6948778021672821,-0.018553728984986334,0.6890878231267816
carbonization_time_h,Carbonization time,lc_nm,Lc,261,-0.15779986621387132,0.010676448632296652,0.007087163510345731,0.9092786236185226,0.012725114398338786,0.789247927917908
carbonization_time_h,Carbonization time,la_nm,La,230,-0.28585710990259716,1.0634205095614723e-05,-0.41227261946607696,7.504132286295316e-11,-0.32231030866764177,1.9655159255411076e-10
carbonization_time_h,Carbonization time,ice,ICE,524,-0.06742782742250554,0.12318000141691009,-0.13710747573073792,0.0016557253422677751,-0.10456957939339867,0.0016826424369662774
carbonization_time_h,Carbonization time,plateau_capacity_mAh_g,Plateau capacity,524,-0.10404000560917984,0.017201816670190058,-0.15244722076350326,0.00046207205051005583,-0.11516043447521493,0.0006455175499470531
carbonization_time_h,Carbonization time,reversible_capacity_mAh_g,Reversible capacity,522,-0.0672773009919016,0.12474433235076166,-0.08394786251005039,0.055267135468063465,-0.06238665039041275,0.061244369483414614
heating_rate_C_min,Heating rate,pore_volume_cm3_g,Pore volume,206,0.036549996866449025,0.6019674247830828,-0.026401885069995107,0.7063979079709201,-0.020981901331620985,0.6935357457408117
heating_rate_C_min,Heating rate,lc_nm,Lc,168,-0.014899994876124553,0.8479813155139151,-0.14039702682740693,0.06949804417675656,-0.10356619977359502,0.08174071250632295
heating_rate_C_min,Heating rate,la_nm,La,146,-0.012069846417219537,0.8850328627914015,0.023664031983604134,0.7767816743698485,0.025045880655360224,0.6936126835711451
heating_rate_C_min,Heating rate,ice,ICE,365,-0.10291707530023861,0.04944856133872348,-0.05809852362754963,0.26825120013153914,-0.044153058184163096,0.2698342777507923
heating_rate_C_min,Heating rate,plateau_capacity_mAh_g,Plateau capacity,365,-0.10630111907705031,0.04239028934904038,-0.0816822071140134,0.11928358597008167,-0.06363017915856511,0.11858445583798459
heating_rate_C_min,Heating rate,reversible_capacity_mAh_g,Reversible capacity,363,-0.017118860182739292,0.7451379352274501,-0.07803991550431574,0.13781000068596072,-0.059434365676195366,0.138429594579151
pore_volume_cm3_g,Pore volume,lc_nm,Lc,154,-0.1588720716853017,0.0490674173520891,-0.22367773557991646,0.005294061189543539,-0.15583978382598673,0.0042857017841968345
pore_volume_cm3_g,Pore volume,la_nm,La,134,-0.16438635452682265,0.05769410188076184,-0.232388658227857,0.00689267364830707,-0.16094169445660797,0.005977676324213304
pore_volume_cm3_g,Pore volume,ice,ICE,302,-0.6303280702605111,7.499254830415694e-35,-0.6933427652186777,1.349719311522112e-44,-0.514946747902482,2.000925863129017e-40
pore_volume_cm3_g,Pore volume,plateau_capacity_mAh_g,Plateau capacity,302,-0.5068825166502333,4.0598954491492294e-21,-0.6543601829456029,2.712540233230541e-38,-0.4830633699933283,1.858722389360642e-34
pore_volume_cm3_g,Pore volume,reversible_capacity_mAh_g,Reversible capacity,302,-0.017068439896413948,0.7676812177314141,-0.14097119284632406,0.014209813711125351,-0.10311953400816706,0.007664687330225455
lc_nm,Lc,la_nm,La,243,0.4847372218696949,1.0059594482340905e-15,0.2793962737626825,9.812489414764271e-06,0.2004743231536769,3.461284516749348e-06
lc_nm,Lc,ice,ICE,286,0.18837597173443957,0.0013720096085553962,0.10258694391012355,0.0832955111264469,0.0710620341866106,0.07407415486138647
lc_nm,Lc,plateau_capacity_mAh_g,Plateau capacity,286,0.15000067156803998,0.011084648604412464,0.11611566911071508,0.049793363757976876,0.07607623075020999,0.056803720818698576
lc_nm,Lc,reversible_capacity_mAh_g,Reversible capacity,286,-0.05898962704023292,0.3201731624811084,0.0051015468051351185,0.9315477342078475,0.0028538778504945046,0.942787132614611
la_nm,La,ice,ICE,256,0.15031195180565995,0.01608804321031551,0.16812456692260883,0.007016796862992614,0.11714160074178695,0.0053091560518101445
la_nm,La,plateau_capacity_mAh_g,Plateau capacity,256,0.22667346185942172,0.0002554454456974599,0.23115435235158396,0.00019070176554172747,0.16253911394011647,0.00011274050956449719
la_nm,La,reversible_capacity_mAh_g,Reversible capacity,256,0.09292254067767891,0.13815560297523427,0.1560186516401053,0.01244015379119675,0.10760736201381656,0.010408461233933233
ice,ICE,plateau_capacity_mAh_g,Plateau capacity,565,0.8071984501983953,5.307129168219949e-131,0.8195196049301859,2.9883746906701786e-138,0.6270331237351076,2.1997056181862105e-106
ice,ICE,reversible_capacity_mAh_g,Reversible capacity,558,0.24659024176902747,3.5630662341174844e-09,0.31110456369637296,5.4842218020149995e-14,0.22137212543090315,5.896322659438465e-15
plateau_capacity_mAh_g,Plateau capacity,reversible_capacity_mAh_g,Reversible capacity,558,0.39218283276218785,5.861177627278616e-22,0.4879503640505743,1.0155851663348656e-34,0.3951054903466095,5.883829956401254e-43
